STRD_YYMM,SIDO_NM,CCG_NM,GENDER_CD,AGE_CD,TP_BUZ_NO,TP_BUZ_NM,amt,cnt,AGE_LABEL,amt_per_cnt
202605,전북특별자치도,익산시,3,5,8001,일반한식,55830000,1385,50대,40310.46931407942
202601,경기도,수원시 팔달구,3,4,8006,서양음식,30810000,2289,40대,13460.02621231979
202604,대전광역시,대덕구,3,5,4020,슈퍼마켓,25330000,1266,50대,20007.89889415482
202606,경기도,안산시 단원구,3,2,4010,편의점,226020000,28029,20대,8063.791073530986
202603,서울특별시,강남구,3,1,4010,편의점,9360000,1350,20대 이하,6933.333333333333
202602,경기도,시흥시,3,4,8005,중국음식,217400000,4733,40대,45932.81216987112
202601,부산광역시,남구,3,3,8006,서양음식,20140000,2341,30대,8603.16104228962
202602,경기도,평택시,3,2,8021,스넥,8330000,507,20대,16429.980276134123
202603,경기도,안산시 상록구,3,4,8006,서양음식,36680000,3146,40대,11659.249841068024
202603,경상남도,김해시,3,5,8001,일반한식,71090000,2151,50대,33049.74430497443
202605,부산광역시,해운대구,3,4,8021,스넥,13720000,911,40대,15060.373216245884
202603,충청남도,금산군,3,6,8001,일반한식,19240000,532,60대 이상,36165.41353383459
202601,전북특별자치도,전주시 완산구,3,6,4010,편의점,13500000,1479,60대 이상,9127.789046653144
202605,경기도,안양시 만안구,3,3,8006,서양음식,12440000,1327,30대,9374.529012810852
202606,울산광역시,동구,3,3,8005,중국음식,1960000,87,30대,22528.735632183907
202605,충청남도,공주시,3,3,8006,서양음식,6370000,547,30대,11645.338208409506
202605,경기도,시흥시,3,3,8005,중국음식,222030000,5200,30대,42698.07692307692
202603,대전광역시,유성구,3,1,4010,편의점,18720000,3261,20대 이하,5740.570377184913
202605,경상남도,김해시,3,3,8001,일반한식,115650000,3839,30대,30125.032560562646
202605,충청남도,아산시,3,1,4020,슈퍼마켓,9800000,760,20대 이하,12894.736842105263
202602,경기도,이천시,3,6,8004,일식회집,1150000,19,60대 이상,60526.31578947369
202603,충청남도,부여군,3,5,4010,편의점,3140000,287,50대,10940.766550522649
202605,울산광역시,동구,3,2,4020,슈퍼마켓,44320000,2928,20대,15136.612021857924
202602,경기도,부천시 오정구,3,3,4020,슈퍼마켓,44400000,2710,30대,16383.763837638377
